text,label,tokens
kunjung prabowo resmi serah proyek bantu air bersih titik prabowo subianto,Sumber Daya Alam,"['kunjung', 'prabowo', 'resmi', 'serah', 'proyek', 'bantu', 'air', 'bersih', 'titik', 'prabowo', 'subianto']"
anies tepuk tangan riah rektor wajib mata kuliah antikorupsi putus mata rantai korupsi,Politik,"['anies', 'tepuk', 'tangan', 'riah', 'rektor', 'wajib', 'mata', 'kuliah', 'antikorupsi', 'putus', 'mata', 'rantai', 'korupsi']"
memang benar sih dukung yang bodoh juga dengan dukung hanya saja ridwan kamil skema balik kalau mayoritas didik tengah juga didik rendah yang milih,Demografi,"['memang', 'benar', 'sih', 'dukung', 'yang', 'bodoh', 'juga', 'dengan', 'dukung', 'hanya', 'saja', 'ridwan', 'kamil', 'skema', 'balik', 'kalau', 'mayoritas', 'didik', 'tengah', 'juga', 'didik', 'rendah', 'yang', 'milih']"
anies sikap kritis kerja prabowo anggap tidak sopan anggap hormat orang tua gilir sekarang gibran yang sebal sok kritis bahkan anggap kritis keras standar ganda,Politik,"['anies', 'sikap', 'kritis', 'kerja', 'prabowo', 'anggap', 'tidak', 'sopan', 'anggap', 'hormat', 'orang', 'tua', 'gilir', 'sekarang', 'gibran', 'yang', 'sebal', 'sok', 'kritis', 'bahkan', 'anggap', 'kritis', 'keras', 'standar', 'ganda']"
anies baswedan harap aparatur sipil negara tentara nasional indonesia polisi republik indonesia pegang sumpah pilih umum,Politik,"['anies', 'baswedan', 'harap', 'aparatur', 'sipil', 'negara', 'tentara', 'nasional', 'indonesia', 'polisi', 'republik', 'indonesia', 'pegang', 'sumpah', 'pilih', 'umum']"
aduh lurah denger ini acara hajat rakyat puluh ribu warga kendal seru ganjar presiden hadir magnet puluh ribu warga hadir hajat rakyat ganjarmahfud besar antusiasme warga bukti jawa kandang banteng,Politik,"['aduh', 'lurah', 'denger', 'ini', 'acara', 'hajat', 'rakyat', 'puluh', 'ribu', 'warga', 'kendal', 'seru', 'ganjar', 'presiden', 'hadir', 'magnet', 'puluh', 'ribu', 'warga', 'hadir', 'hajat', 'rakyat', 'ganjarmahfud', 'besar', 'antusiasme', 'warga', 'bukti', 'jawa', 'kandang', 'banteng']"
prabowo menteri tahan taman ismail marzuki satu tugas air unhan kaji bantu air sukabumi dekade prabowo gibran,Pertahanan dan Keamanan,"['prabowo', 'menteri', 'tahan', 'taman', 'ismail', 'marzuki', 'satu', 'tugas', 'air', 'unhan', 'kaji', 'bantu', 'air', 'sukabumi', 'dekade', 'prabowo', 'gibran']"
anies iya allah sibuk orang zalim jahat orang zalim,Politik,"['anies', 'iya', 'allah', 'sibuk', 'orang', 'zalim', 'jahat', 'orang', 'zalim']"
abah bapa bapa yang perhati didik anak anak papua pintar pintar gera indonesia ajar tidak lupa warga papua bapa anies presiden,Politik,"['abah', 'bapa', 'bapa', 'yang', 'perhati', 'didik', 'anak', 'anak', 'papua', 'pintar', 'pintar', 'gera', 'indonesia', 'ajar', 'tidak', 'lupa', 'warga', 'papua', 'bapa', 'anies', 'presiden']"
bawaslu maki anjing warga gara copot spanduk ganjar mahfud spanduk calon presiden copot bawaslu taman ismail marzuki sukses,Politik,"['bawaslu', 'maki', 'anjing', 'warga', 'gara', 'copot', 'spanduk', 'ganjar', 'mahfud', 'spanduk', 'calon', 'presiden', 'copot', 'bawaslu', 'taman', 'ismail', 'marzuki', 'sukses']"
isu basi kait fakta anies ganti pancasila sistem khilafah kait toleransi anut agamaanies blunder data rumah ibadah jakarta anies khianat prabowo calon presiden benar fakta disangkalentah niat jahat nafsu penting pribadibenar seringkali buta mata hati buta,Ideologi,"['isu', 'basi', 'kait', 'fakta', 'anies', 'ganti', 'pancasila', 'sistem', 'khilafah', 'kait', 'toleransi', 'anut', 'agamaanies', 'blunder', 'data', 'rumah', 'ibadah', 'jakarta', 'anies', 'khianat', 'prabowo', 'calon', 'presiden', 'benar', 'fakta', 'disangkalentah', 'niat', 'jahat', 'nafsu', 'penting', 'pribadibenar', 'seringkali', 'buta', 'mata', 'hati', 'buta']"
ganjar pranowomahfud md tekan siap butuh dasar alat utama sistem senjata tentara nasional indonesia matra darat laut udaraganjar mahfud mnang,Pertahanan dan Keamanan,"['ganjar', 'pranowomahfud', 'md', 'tekan', 'siap', 'butuh', 'dasar', 'alat', 'utama', 'sistem', 'senjata', 'tentara', 'nasional', 'indonesia', 'matra', 'darat', 'laut', 'udaraganjar', 'mahfud', 'mnang']"
calon presiden calon presiden nomor urut anies baswedan mampu hadap debat tiga debat tiga tema tahan aman hubung internasional geopolitik download akademi pimpin usaha store play store,Pertahanan dan Keamanan,"['calon', 'presiden', 'calon', 'presiden', 'nomor', 'urut', 'anies', 'baswedan', 'mampu', 'hadap', 'debat', 'tiga', 'debat', 'tiga', 'tema', 'tahan', 'aman', 'hubung', 'internasional', 'geopolitik', 'download', 'akademi', 'pimpin', 'usaha', 'store', 'play', 'store']"
calon presiden ganjar pranowo rencana sinergi guru program bawa ubah positif,Politik,"['calon', 'presiden', 'ganjar', 'pranowo', 'rencana', 'sinergi', 'guru', 'program', 'bawa', 'ubah', 'positif']"
dapat anggar dapat dan belanja daerah jumbo indonesia capai rupiah,Ekonomi,"['dapat', 'anggar', 'dapat', 'dan', 'belanja', 'daerah', 'jumbo', 'indonesia', 'capai', 'rupiah']"
nyata yang timbul hancur pribadi yang isi penuh benci ayahbowo adalahkita timbul dampak emosional pilih dukungantulus,Politik,"['nyata', 'yang', 'timbul', 'hancur', 'pribadi', 'yang', 'isi', 'penuh', 'benci', 'ayahbowo', 'adalahkita', 'timbul', 'dampak', 'emosional', 'pilih', 'dukungantulus']"
mas ganjar bawa data beri dasar data prabowo bilang data mas ganjar salah prabowo bilang data salah wajar mas ganjar data tidak urus singkat,Politik,"['mas', 'ganjar', 'bawa', 'data', 'beri', 'dasar', 'data', 'prabowo', 'bilang', 'data', 'mas', 'ganjar', 'salah', 'prabowo', 'bilang', 'data', 'salah', 'wajar', 'mas', 'ganjar', 'data', 'tidak', 'urus', 'singkat']"
